sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
2|4|PAN-PRD|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PAN-MC|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PRD-MC|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PT-MORENA-PES|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|PT-MORENA|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|PT-PES|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|MORENA-PES|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|5|PAN|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PRI|MIGUEL ANGEL BADIOLA MONTAÑO|RODOLFO LOPEZ FAJARDO
2|5|PRD|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PVEM|OSCAR ALBERTO CHAVEZ GARCIA|LEONEL GUSTAVO PEIRO DEL RIO
2|5|PT|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|MC|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PANAL|VICTOR PARRA MEZA|DANIEL MORENO VILLA
2|5|MORENA|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|PES|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|PAN-PRD-MC|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PAN-PRD|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PAN-MC|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PRD-MC|ROSALBA LOPEZ REGALADO|MARIA DE LA LUZ JIMENEZ MAYORGA
2|5|PT-MORENA-PES|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|PT-MORENA|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|PT-PES|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|5|MORENA-PES|MARIO ISMAEL MORENO GIL|LUIS JAVIER ALGORRI FRANCO
2|6|PAN|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PRI|ANA ERIKA SANTANA GONZALEZ|MARIA GABRIELA ROLDAN RAMIREZ
2|6|PRD|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
